Study,Time,GD,Dose,Conc,SD,Sample
1,314,13.08,0.08,4.04E-02,0.022415285,FB
1,316,13.17,0.08,7.75E-02,0.00523259,FB
1,320,13.33,0.08,0.153938,0.032876223,FB
1,324,13.5,0.08,0.321752,0.134726469,FB
1,336,14,0.08,0.219822,2.38E-02,FB
1,360,15,0.08,0.306415,0.094410069,FB
1,408,17,0.08,0.29219525,0.085756656,FB
1,314,13.08,0.08,0.338003,0.054263374,FL
1,316,13.17,0.08,0.238481,0.009367751,FL
1,320,13.33,0.08,0.1496115,0.055734864,FL
1,324,13.5,0.08,0.436528,0.158299995,FL
1,336,14,0.08,0.162012,1.31E-03,FL
1,360,15,0.08,0.275973,0.020566908,FL
1,408,17,0.08,0.240453,0.05391094,FL
1,314,13.08,0.08,0.212272,0.020702672,ML
1,316,13.17,0.08,0.3515345,0.059188373,ML
1,320,13.33,0.08,0.365658,0.005641298,ML
1,324,13.5,0.08,0.3538485,0.032391855,ML
1,336,14,0.08,0.26482,2.30E-02,ML
1,360,15,0.08,0.3166855,0.034759248,ML
1,408,17,0.08,0.20500525,0.057702591,ML
1,314,13.08,0.08,0.125415,0.010182338,Pla
1,316,13.17,0.08,0.19042,0.058803,Pla
1,320,13.33,0.08,0.2036055,0.011314416,Pla
1,324,13.5,0.08,0.5795275,0.120973949,Pla
1,336,14,0.08,0.133245,1.76E-02,Pla
1,360,15,0.08,0.1236055,0.009740396,Pla
1,408,17,0.08,0.27573925,0.143202452,Pla
1,314,13.08,0.08,0.0936075,0.022120775,MP
1,316,13.17,0.08,0.192930833,0.074685928,MP
1,320,13.33,0.08,0.191486667,0.086489975,MP
1,324,13.5,0.08,0.138279167,0.075297554,MP
1,336,14,0.08,0.247325,0.016079613,MP
1,348,14.5,0.08,0.13141275,0.015881337,MP
1,360,15,0.08,0.117909667,0.032183083,MP
1,384,16,0.08,0.12376875,0.019115452,MP
1,408,17,0.08,0.104193673,0.016647687,MP
2,314,13.08,0.08,0.044590808,0.003352495,FB
2,316,13.17,0.08,7.75E-02,0.010677312,FB
2,320,13.33,0.08,0.117302,0.002350423,FB
2,324,13.5,0.08,0.202135,0.047694352,FB
2,336,14,0.08,0.2886405,0.018995009,FB
2,360,15,0.08,0.3042815,0.005757971,FB
2,408,17,0.08,0.244025333,0.043930378,FB
2,314,13.08,0.08,0.4095265,0.004346585,ML
2,316,13.17,0.08,0.349873,0.000707107,ML
2,320,13.33,0.08,0.3259995,0.009980812,ML
2,324,13.5,0.08,0.260551,0.025032994,ML
2,336,14,0.08,0.332541,0.014310427,ML
2,360,15,0.08,0.284993,0.002691248,ML
2,408,17,0.08,0.205005333,0.079505618,ML
2,314,13.08,0.08,0.145527,0.16337985,FL
2,316,13.17,0.08,0.1036175,0.011479879,FL
2,320,13.33,0.08,0.134789,0.004082835,FL
2,324,13.5,0.08,0.2245715,0.024658935,FL
2,336,14,0.08,0.266942,0.010605188,FL
2,360,15,0.08,0.21035,0.021941523,FL
2,408,17,0.08,0.179317,0.036764647,FL
2,314,13.04,0.08,0.225293,0.002074651,Pla
2,316,13.17,0.08,0.157301,0.039713945,Pla
2,320,13.33,0.08,0.1659575,0.048096696,Pla
2,324,13.5,0.08,0.2822555,0.006231732,Pla
2,336,14,0.08,0.149675,0.027227854,Pla
2,360,15,0.08,0.139847,0.020303864,Pla
2,408,17,0.08,0.150729,0.034802471,Pla
2,312.5,13.02,0.08,0.16649975,0.022026012,MP
2,314,13.08,0.08,0.130325667,0.035528735,MP
2,316,13.17,0.08,0.2193375,0.120387243,MP
2,320,13.33,0.08,0.383812167,0.105826941,MP
2,324,13.5,0.08,0.302637,0.132970963,MP
2,336,14,0.08,0.329339833,0.116476236,MP
2,360,15,0.08,0.321886167,0.057827,MP
2,384,16,0.08,0.24017725,0.063118709,MP
2,408,17,0.08,0.169534501,0.085895308,MP
